2025-11-29T14:22:00.639-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=c.c.r.t.TiqueteraCatalogoApplicationTests | message=Starting TiqueteraCatalogoApplicationTests using Java 17.0.12 with PID 21412 (started by anonimo in C:\Users\anonimo\Videos\TiqueteraCatalogo)
2025-11-29T14:22:00.643-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=c.c.r.t.TiqueteraCatalogoApplicationTests | message=Running with Spring Boot v3.5.7, Spring v6.2.12
2025-11-29T14:22:00.644-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=c.c.r.t.TiqueteraCatalogoApplicationTests | message=The following 1 profile is active: "dev"
2025-11-29T14:22:00.731-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.s.w.c.s.GenericWebApplicationContext | message=Refreshing org.springframework.web.context.support.GenericWebApplicationContext@68ba310d
2025-11-29T14:22:04.368-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.s.d.r.c.RepositoryConfigurationDelegate | message=Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-11-29T14:22:04.698-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=o.s.d.r.c.RepositoryConfigurationDelegate | message=Finished Spring Data repository scanning in 291 ms. Found 3 JPA repository interfaces.
2025-11-29T14:22:06.516-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=Class org.h2.Driver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@73d16e93
2025-11-29T14:22:07.007-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=HikariPool-1 - configuration:
2025-11-29T14:22:07.015-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=allowPoolSuspension.............false
2025-11-29T14:22:07.017-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=autoCommit......................true
2025-11-29T14:22:07.018-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=catalog.........................none
2025-11-29T14:22:07.019-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=connectionInitSql...............none
2025-11-29T14:22:07.019-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=connectionTestQuery.............none
2025-11-29T14:22:07.020-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=connectionTimeout...............30000
2025-11-29T14:22:07.020-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=credentials.....................com.zaxxer.hikari.util.Credentials@22ca1242
2025-11-29T14:22:07.021-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=dataSource......................none
2025-11-29T14:22:07.021-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=dataSourceClassName.............none
2025-11-29T14:22:07.022-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=dataSourceJNDI..................none
2025-11-29T14:22:07.025-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=dataSourceProperties............{password=<masked>}
2025-11-29T14:22:07.026-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=driverClassName................."org.h2.Driver"
